P_SUBJECT	{}
E_SUBJECT	{'': 1, 'hän': 1}
POS_SUBJECT	{}
POS_OBJECT	{}
NUM_ATTRIBUTE	{'': 21, 'pinna': 2, 'hikipisara': 1, 'miljardi': 1, '594': 1, 'Yvonne Gunell': 1, 'kymmenys': 1, 'mc-pistettä': 1, 'se-': 1, 'teelusikallinen': 1, 'piikki': 1, 'lippu': 1, ',': 2, 'kappale': 4, 'kilometri': 2, 'metri': 4, '062': 1, '(': 2, 'syöttöpiste': 1, 'Göteborgin': 1, 'mitali': 2, 'ja': 4, '/': 1, '%': 2, 'prosentti': 22, 'Jonathon': 1, 'laukaus': 2, 'kruunu': 1, '.': 12, 'sekunni': 1, 'lokakuu': 1, 'siirto': 1, 'voitto': 1, 'miljoo-': 1, 'Jani Soininen': 1, 'Vaapaheittoja': 1, 'milli': 1, 'rysä': 1, 'avauserä': 1, 'juoksija': 1, 'C-lohko': 1, 'kotiutustilannetta': 1, 'aari': 1, 'liigapeli': 1, 'päivä': 1, 'kilomet-': 1, 'mmkista': 1, 'ampiainen': 2, 'tavi': 1, 'tunti': 2, 'ero': 1, 'miljoona': 12, 'Uudellamaalla': 1, 'sadasosasekunti': 9, '000': 19, 'kuukausi': 1, 'kymmenen': 1, 'pää': 2, 'keila': 12, 'Harry': 1, 'piste': 55, 'kerta': 2, 'kuusi': 1, '400': 1, 'aste': 1, 'torjunta': 1, 'litra': 2, '1990': 1, 'sadasosa': 3, 'l.': 1, 'kolme': 2, 'tulos': 1, 'maikka': 1, '600': 1, 'penni': 1, '84': 1, 'Saksa': 1, 'Fredrik Olausson': 1, 'senttilitra': 1, 'teippi': 1, 'virhepiste': 1, 'Mikko Haapakoski': 1, '584': 1, 'sujua': 1, 'solmu': 1, 'ryppyinen': 1, 'puimuri': 1, 'vartti': 2, 'kysyä': 1, 'Susanna Vanhanen': 1, 'hehtaari': 1, '100': 1, 'yksi': 1, 'kolmonentilanne': 2, 'viikko': 3, 'hopeamitali': 1, 'minuutti': 9, 'ottelu': 2, 'kisapaikka': 1, 'kilo': 1, 'ääni': 4, 'vuosi': 6, ':': 2, 'dollari': 2, 'markka': 19, 'sentti': 8, 'sadasosapiste': 1, 'sata': 1, 'hiihtäjä': 1, 'tapahtuma': 1, 'juoksu': 1, 'oljenkorren': 1, 'sekunti': 55, 'tekopaikka': 1, 'parlamenttipaik': 1, 'Mark Messier': 1, 'maali': 13, 'uusi': 1, 'puu': 1, 'gramma': 2, 'ta': 1}
PREDICATIVE	{}
ESS_ADVERBIAL	{'': 12, 'vaihtopenkki': 1, 'Jukka Mäkinen': 1, 'possu': 1, 'hän': 3, 'Jari': 1, 'se': 1, 'Kaavi': 1, 'siirtää': 1, 'hyvä': 1, 'ykkönensentteri': 1, 'Pete Sampras': 1, 'ontua': 1, 'David Robinson': 1, 'tulos': 2, 'Luhtanen': 1, 'Lemieux': 1, 'kilpailunäyttö': 1, 'Jukka Liikala': 1, 'Mikael Kajander': 1, 'paha': 1, 'ori': 1, 'yhdeksän': 1, 'su': 1, 'urakka': 1, 'terho': 1, 'kapteeni': 2, 'Gretzky': 1, 'kärki': 1, 'Mika Lipponen': 1, 'Jukka Ripatti': 1, 'puoluejohtaja': 1, 'kähärä': 1, 'kaksi': 1, 'passari': 1, 'este': 1, 'Pitkänen': 1, 'kakkoskoppari': 1, 'Herbert Crook': 1, 'joka': 3, 'TPS': 1, 'toinen': 2, 'libero': 1, 'ykkönenmaalivahti': 1, 'Markus Lepistö': 1, 'pitkänhuiskea': 1, 'tähtihakkuri': 1, 'Jarkko Partanen': 1, 'Lusik': 1, 'seitsemän': 1, 'Here': 1, 'Banking': 1, 'kanadalainen': 1, 'polvi': 1, 'Marttila': 1, 'Linford Christie': 1, 'vastaanottospesialisti': 1, 'annos': 1, 'tulokas': 1}
GEN_ATTRIBUTE	{'': 1, 'aktivisti': 1, 'määrä': 1, 'ryhmä': 1, 'hoitaa': 1, 'eläke': 1, 'mieli': 1, 'näköisi': 1, 'sijoitus': 1, 'valtakunta': 1, 'kirja': 1, 'harmi': 1, 'marjaselkä': 1, 'asema': 1, 'hartia': 1, 'kiijoissa': 1, 'auttaa': 1, 'legenda': 1, 'maa': 1}
COMPOUND_ATTRIBUTE	{'hoito': 56, 'koivu': 16, 'pöllöveistos': 1, 'ukkokausi': 1, 'elo': 1, 'taloajattelu': 1, 'kollehdit': 1, 'hoito-hallitus': 1, 'salmi': 5, 'en-luu': 18, 'apu': 7, 'hoitorasitus': 1, 'taloaika': 2, 'hoito-olo': 1, '-ja': 1, 'uus': 9, 'luuta': 1, 'ukkojaja': 1, 'hoitolainen': 3, 'tukki': 1, 'tupa': 1, 'ohjesääntö': 1, 'mänty': 1, 'hoitotoiminta': 1, 'hoitoasia': 1, 'hoito-tarkastaja': 1, 'prosentti': 2, 'hoitoneuvoja': 1, 'ruotujärjestelmä': 1, 'poikalito': 1, 'hoito-asia': 1, 'lampi': 1, '-hoito': 1, 'hoitokunta': 1, 'hoitoasetus': 6, 'hoitoapu': 1, 'akka': 1, 'ukko': 51, 'huone': 8, 'hoitolasäädäntö': 1, 'huoltoajatus': 1, 'hoitopoliittinen': 1, 'hiiri': 1, 'poika': 1, 'enluu': 15, 'talo': 45, 'hoitohallitus': 1, 'päästäinen': 1, 'hoito-kysymys': 1, 'kokous': 2, 'hoitojärjestelmä': 1, 'hoitohuone': 1, 'hoitovirkaomainen': 1, 'ukkonäyttely': 1, 'kassa': 6, 'kotiaika': 1, 'i': 4, 'hoito-ohjesääntö': 2, 'koti': 1, 'hoitotarkastaja': 1, 'taksa': 3, 'ryhmä': 1, 'iva': 1, 'vaishoidon': 1}
PRON_ATTRIBUTE	{'': 9}
